"Name","DisplayName","Status","ServiceType","StartType","ProcessId","Description","DependentServices","ServicesDependedOn","MachineName","CanPauseAndContinue","CanShutdown","CanStop","Site","RequiredServices","CanHandlePowerEvent","CanHandleSessionChangeEvent","CanHandleSuspendResume","CanHandleSessionChange","ExitCode","StartName","SiteName","PathName","PagedMemorySize","PeakPagedMemorySize","PrivateMemorySize","PeakVirtualMemorySize","PeakWorkingSet","VirtualMemorySize","WorkingSet","StartTime"
"NetSetupSvc","Network Setup Service","Running","Win32OwnProcess, Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"NgcSvc","Microsoft Passport","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"NlaSvc","Network Location Awareness","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"nsi","Network Store Interface Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PcaSvc","Program Compatibility Assistant Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PerfHost","Performance Counter DLL Host","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PimIndexMaintenanceSvc_374b7","Contact Data_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"pla","Performance Logs & Alerts","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PlugPlay","Plug and Play","Running","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PolicyAgent","IPsec Policy Agent","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"Power","Power","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PrintNotify","Printer Extensions and Notifications","Stopped","Win32ShareProcess, InteractiveProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PrintWorkflowUserSvc_374b7","PrintWorkflow_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"ProfSvc","User Profile Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"PushToInstall","Windows PushToInstall Service","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"QWAVE","Quality Windows Audio Video Experience","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RasAuto","Remote Access Auto Connection Manager","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RasMan","Remote Access Connection Manager","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RemoteAccess","Routing and Remote Access","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RemoteRegistry","Remote Registry","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RmSvc","Radio Management Service","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RpcEptMapper","RPC Endpoint Mapper","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RpcSs","Remote Procedure Call (RPC)","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"RSoPProv","Resultant Set of Policy Provider","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"sacsvr","Special Administration Console Helper","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SamSs","Security Accounts Manager","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SCardSvr","Smart Card","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"Schedule","Task Scheduler","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SCPolicySvc","Smart Card Removal Policy","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"seclogon","Secondary Logon","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SecurityHealthService","Windows Security Service","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Win32OwnProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SENS","System Event Notification Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SensorDataService","Sensor Data Service","Stopped","Win32OwnProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SensorService","Sensor Service","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SensrSvc","Sensor Monitoring Service","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SessionEnv","Remote Desktop Configuration","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SgrmBroker","System Guard Runtime Monitor Broker","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"ShellHWDetection","Shell Hardware Detection","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"shpamsvc","Shared PC Account Manager","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"smphost","Microsoft Storage Spaces SMP","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SNMPTRAP","SNMP Trap","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"Spooler","Print Spooler","Running","Win32OwnProcess, InteractiveProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"sppsvc","Software Protection","Stopped","Win32OwnProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SSDPSRV","SSDP Discovery","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"ssh-agent","OpenSSH Authentication Agent","Stopped","Win32OwnProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SstpSvc","Secure Socket Tunneling Protocol Service","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"StateRepository","State Repository Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"StorSvc","Storage Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"svsvc","Spot Verifier","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SysMain","SysMain","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"SystemEventsBroker","System Events Broker","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Running","Win32OwnProcess, Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"tapisrv","Telephony","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"TermService","Remote Desktop Services","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"Themes","Themes","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"TieringEngineService","Storage Tiers Management","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"TimeBrokerSvc","Time Broker","Running","Win32OwnProcess, Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"TokenBroker","Web Account Manager","Running","Win32OwnProcess, Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"TrkWks","Distributed Link Tracking Client","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"TrustedInstaller","Windows Modules Installer","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"tzautoupdate","Auto Time Zone Updater","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UALSVC","User Access Logging Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UdkUserSvc_374b7","Udk User Service_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UevAgentService","User Experience Virtualization Service","Stopped","Win32OwnProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UnistoreSvc_374b7","User Data Storage_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"upnphost","UPnP Device Host","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UserDataSvc_374b7","User Data Access_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UserManager","User Manager","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"UsoSvc","Update Orchestrator Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"VaultSvc","Credential Manager","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"vds","Virtual Disk","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"VGAuthService","VMware Alias Manager and Ticket Service","Running","Win32OwnProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"vm3dservice","VMware SVGA Helper Service","Running","Win32OwnProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
